particle,frames_tracked,mean_speed(px/s),total_displacement(px),mean_squared_displacement(px²),directional_persistence,mean_turn_angle(deg)
0,5,109.995,30.144,278.056,0.383,96.46
1,10,60.879,15.914,126.534,0.182,103.49
4,39,53.663,7.993,93.788,0.027,99.64
5,4,61.46,15.249,88.661,0.433,96.66
6,3,129.173,25.633,484.514,0.462,158.15
7,8,65.33,30.848,108.858,0.412,57.38
8,4,80.84,20.254,185.083,0.437,81.94
9,9,75.482,24.289,151.186,0.25,59.39
10,3,63.799,9.487,86.059,0.346,117.88
12,3,72.657,4.768,121.247,0.153,75.9
13,23,59.717,26.198,114.543,0.133,97.58
16,9,68.925,56.184,118.684,0.632,67.45
17,7,44.326,23.419,61.107,0.527,83.94
18,7,50.59,13.367,71.34,0.263,112.65
19,5,36.814,15.435,34.455,0.585,99.75
20,11,45.065,38.918,63.981,0.548,86.83
21,5,103.8,27.382,255.498,0.368,81.77
22,5,58.061,11.211,82.181,0.27,101.86
24,27,45.933,64.899,78.753,0.365,56.81
27,40,66.112,36.239,124.274,0.096,89.44
28,8,61.72,23.854,114.478,0.337,109.36
29,7,74.092,14.68,124.212,0.198,62.16
30,4,67.111,26.791,175.703,0.697,104.08
31,6,84.097,14.309,187.903,0.198,97.95
33,11,82.79,29.147,211.738,0.223,96.24
35,3,35.691,8.07,32.726,0.526,118.73
40,11,46.328,18.476,75.094,0.253,65.7
41,54,46.636,93.95,81.169,0.26,88.17
42,5,48.984,10.752,53.863,0.306,102.38
43,5,54.334,19.755,77.122,0.508,119.58
45,12,39.446,23.363,47.077,0.345,114.5
46,10,52.742,22.595,86.945,0.299,136.11
47,12,57.454,34.805,104.176,0.352,77.39
48,3,113.662,14.648,378.391,0.3,154.38
50,4,62.583,11.422,114.326,0.318,117.82
52,31,54.221,15.615,87.505,0.065,111.01
55,29,55.44,11.347,81.899,0.049,87.83
56,7,63.808,7.295,124.903,0.114,112.23
57,4,80.878,30.781,148.921,0.664,82.2
58,34,53.754,143.51,86.305,0.548,56.69
59,19,73.849,18.623,156.987,0.093,111.68
60,4,50.197,8.638,75.081,0.3,109.39
61,7,87.496,15.908,252.284,0.181,128.07
62,8,87.661,17.183,179.661,0.171,137.03
64,10,69.673,58.773,116.285,0.589,50.7
65,16,59.091,22.299,130.859,0.165,90.26
66,5,89.329,16.116,198.645,0.252,113.5
68,4,24.146,4.327,12.065,0.313,126.49
69,26,31.366,23.793,48.661,0.204,84.4
70,5,49.548,16.882,69.803,0.476,31.27
71,7,54.886,21.954,80.465,0.399,55.67
72,13,56.578,9.28,97.331,0.088,113.96
74,9,70.685,22.88,124.934,0.251,121.71
76,5,38.01,19.689,53.562,0.723,43.12
77,8,54.662,14.757,88.969,0.236,83.53
79,27,55.487,73.953,120.372,0.345,78.31
81,18,31.506,10.112,32.26,0.124,75.87
82,32,74.733,24.336,148.163,0.071,104.32
85,4,14.72,1.875,7.111,0.222,119.6
86,4,15.379,4.317,7.918,0.49,65.73
87,12,82.427,66.955,171.944,0.472,79.44
88,22,46.518,7.474,84.625,0.051,94.29
89,4,43.738,9.748,45.151,0.389,109.6
90,7,58.633,28.074,93.912,0.477,71.94
91,8,82.057,35.66,204.851,0.379,77.17
95,4,62.753,12.5,115.141,0.348,78.26
96,27,52.726,12.87,109.749,0.063,82.43
99,9,55.633,37.695,104.479,0.525,81.27
100,6,22.817,8.502,12.709,0.434,65.07
101,7,57.824,14.77,134.432,0.255,106.89
102,20,44.578,50.141,85.999,0.393,85.64
103,5,48.277,1.146,106.172,0.033,113.53
104,6,53.809,2.02,140.459,0.044,93.76
106,21,23.878,8.684,32.529,0.121,66.89
107,22,28.519,13.521,52.46,0.15,69.93
109,9,71.847,12.971,147.703,0.14,111.16
110,8,9.49,7.249,2.46,0.666,77.85
